************************************************************************************
*    Row   *         i *    runnum *        fi *      fill * R2_vpdrsc * R2_zdcrsc *
*      675 *       676 *  16091014 *        49 *     18850 * 1.0004906 * 1.0015759 *
*      676 *       677 *  16091015 *        49 *     18850 *         0 * 0.9988933 *
*      677 *       678 *  16091037 *        50 *     18852 * 0.9805795 * 0.9787419 *
*      678 *       679 *  16091052 *        51 *     18853 * 1.0042731 * 1.0044810 *
*      679 *       680 *  16091053 *        51 *     18853 * 1.0044841 * 1.0053842 *
*      680 *       681 *  16091055 *        51 *     18853 * 1.0045126 * 1.0023478 *
*      681 *       682 *  16091056 *        51 *     18853 * 1.0043971 * 1.0049378 *
*      682 *       683 *  16091057 *        51 *     18853 * 1.0046166 * 1.0053999 *
*      683 *       684 *  16091060 *        51 *     18853 * 1.0045039 * 1.0030213 *
*      684 *       685 *  16091061 *        51 *     18853 * 1.0045013 * 1.0041308 *
*      685 *       686 *  16091062 *        51 *     18853 * 1.0046156 * 1.0042274 *
*      686 *       687 *  16091063 *        51 *     18853 * 1.0046354 * 1.0043678 *
*      687 *       688 *  16092001 *        51 *     18853 * 1.0047652 *  1.005018 *
*      688 *       689 *  16092002 *        51 *     18853 * 1.0048025 * 1.0053939 *
*      689 *       690 *  16092003 *        51 *     18853 * 1.0047516 * 1.0035091 *
*      690 *       691 *  16092014 *        52 *     18854 * 1.0028847 * 1.0040431 *
*      691 *       692 *  16092015 *        52 *     18854 * 1.0033888 * 1.0034855 *
*      692 *       693 *  16092016 *        52 *     18854 * 1.0037064 * 1.0034918 *
*      693 *       694 *  16092017 *        52 *     18854 * 1.0038014 * 1.0050907 *
*      694 *       695 *  16092018 *        52 *     18854 * 1.0038310 * 1.0030349 *
*      695 *       696 *  16092019 *        52 *     18854 * 1.0038453 * 1.0033617 *
*      696 *       697 *  16092020 *        52 *     18854 * 1.0038441 * 1.0028107 *
*      697 *       698 *  16092021 *        52 *     18854 * 1.0038560 * 1.0032811 *
*      698 *       699 *  16092022 *        52 *     18854 * 1.0039374 * 1.0045979 *
*      699 *       700 *  16092023 *        52 *     18854 * 1.0037702 * 1.0022956 *
*      700 *       701 *  16092024 *        52 *     18854 *         0 * 1.0048524 *
*      701 *       702 *  16092031 *        53 *     18855 * 0.9597852 * 0.9586176 *
*      702 *       703 *  16092033 *        53 *     18855 * 0.9592544 * 0.9585317 *
*      703 *       704 *  16092034 *        53 *     18855 * 0.9589663 * 0.9579480 *
*      704 *       705 *  16092035 *        53 *     18855 * 0.9586876 * 0.9582136 *
*      705 *       706 *  16092036 *        53 *     18855 * 0.9583429 * 0.9573938 *
*      706 *       707 *  16092037 *        53 *     18855 * 0.9581819 * 0.9578714 *
*      707 *       708 *  16092040 *        53 *     18855 * 0.9582670 * 0.9577009 *
*      708 *       709 *  16092042 *        53 *     18855 * 0.9581249 * 0.9569663 *
*      709 *       710 *  16092044 *        53 *     18855 * 0.9580237 * 0.9574698 *
*      710 *       711 *  16092048 *        53 *     18855 * 0.9580330 * 0.9567902 *
*      711 *       712 *  16092049 *        53 *     18855 * 0.9580043 * 0.9573861 *
*      712 *       713 *  16092050 *        53 *     18855 * 0.9579861 * 0.9572327 *
*      713 *       714 *  16092051 *        53 *     18855 * 0.9578863 * 0.9571256 *
*      714 *       715 *  16092052 *        53 *     18855 * 0.9578286 * 0.9575541 *
*      715 *       716 *  16092053 *        53 *     18855 * 0.9576709 * 0.9575772 *
*      716 *       717 *  16092054 *        53 *     18855 * 0.9575653 * 0.9568536 *
*      717 *       718 *  16092055 *        53 *     18855 * 0.9575681 * 0.9569795 *
*      718 *       719 *  16092056 *        53 *     18855 *         0 * 0.9568595 *
*      719 *       720 *  16092063 *        54 *     18856 * 1.0325291 * 1.0313144 *
*      720 *       721 *  16092064 *        54 *     18856 * 1.0336023 * 1.0332744 *
*      721 *       722 *  16092065 *        54 *     18856 * 1.0343481 * 1.0337612 *
*      722 *       723 *  16092066 *        54 *     18856 * 1.0345087 * 1.0336821 *
*      723 *       724 *  16092067 *        54 *     18856 * 1.0346159 * 1.0341875 *
*      724 *       725 *  16092068 *        54 *     18856 * 1.0347243 * 1.0339336 *
*      725 *       726 *  16092069 *        54 *     18856 * 1.0348458 * 1.0340029 *
*      726 *       727 *  16092070 *        54 *     18856 * 1.0349543 * 1.0346285 *
*      727 *       728 *  16092071 *        54 *     18856 * 1.0351328 * 1.0342744 *
*      728 *       729 *  16093001 *        54 *     18856 * 1.0352356 * 1.0347687 *
*      729 *       730 *  16093002 *        54 *     18856 * 1.0353958 * 1.0352938 *
*      730 *       731 *  16093003 *        54 *     18856 * 1.0354125 * 1.0348634 *
*      731 *       732 *  16093004 *        54 *     18856 * 1.0354811 * 1.0344638 *
*      732 *       733 *  16093005 *        54 *     18856 *         0 * 1.0351877 *
*      733 *       734 *  16093010 *        55 *     18857 * 0.9653738 * 0.9648142 *
*      734 *       735 *  16093011 *        55 *     18857 * 0.9651643 * 0.9644973 *
*      735 *       736 *  16093012 *        55 *     18857 * 0.9649656 * 0.9647859 *
*      736 *       737 *  16093013 *        55 *     18857 * 0.9648373 * 0.9645598 *
*      737 *       738 *  16093014 *        55 *     18857 * 0.9648156 * 0.9640920 *
*      738 *       739 *  16093015 *        55 *     18857 * 0.9646248 * 0.9634243 *
*      739 *       740 *  16093016 *        55 *     18857 * 0.9647499 * 0.9641330 *
*      740 *       741 *  16093017 *        55 *     18857 * 0.9645937 * 0.9639131 *
*      741 *       742 *  16093018 *        55 *     18857 * 0.9646199 * 0.9638215 *
*      742 *       743 *  16093019 *        55 *     18857 *         0 * 0.9637167 *
************************************************************************************
